,age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Asters,Age
83,124.7230928,-0.315399216,0.04208563,67.96737003,0.520274023,90.06622517,0.979575304,2.649006623,0.085232915,0,0.148747214,0,0.112748849,2.78136427,0.240765661,0,>85 ka
84,125.1457706,-0.303816199,0.047887171,30.55762519,0.403433393,89.74358974,0.978693961,1.424501425,0.071939847,0,0.148747214,0.284900285,0.131681125,2.886797811,0.261551462,0,>85 ka
85,125.5786282,-0.275543404,0.064746697,68.55503236,0.522122097,94.19795222,0.988395317,0.682593857,0.064696391,0,0.148747214,0,0.112748849,2.453080342,0.182183111,0.341296928,>85 ka
86,126.0717557,-0.263597791,0.073125987,15.44220839,0.358007152,85.55858311,0.964044166,0.272479564,0.060942824,0,0.148747214,1.089918256,0.196519687,5.204977584,0.787151285,0.272479564,>85 ka
87,126.5676442,-0.317180465,0.041246162,18.99554258,0.368533171,75.26501767,0.892389303,9.540636042,0.194962084,0.706713781,0.298706182,0,0.112748849,3.146681633,0.31643898,1.060070671,>85 ka
88,126.9367655,-0.286097903,0.057981471,112.9575948,0.657626058,63.93939394,0.73329603,15.45454545,0.336771456,0.303030303,0.205665155,3.03030303,0.414138268,5.444273303,0.827599001,0,>85 ka
89,127.2906073,-0.448075043,0.007570924,16.33579189,0.360644433,48.57768053,0.415499756,21.88183807,0.522025011,2.188183807,0.708403201,4.814004376,0.643876477,6.871569861,0.966250325,0.437636761,>85 ka
90,127.6305321,-0.521841482,0.002406672,6.290372727,0.331405661,58.54700855,0.629024825,19.87179487,0.462637822,2.35042735,0.747504524,4.05982906,0.54822384,4.967729115,0.742056774,0,>85 ka
91,127.8142094,-0.40935767,0.013070366,5.700781674,0.329718997,84.84042553,0.960845514,3.989361702,0.101805101,0.531914894,0.25617492,0.265957447,0.130358052,4.181381111,0.564695403,0,>85 ka
92,128.3808973,-0.316553799,0.041539936,19.04612471,0.368683747,88.33922261,0.974474102,1.060070671,0.068307675,0,0.148747214,0,0.112748849,3.338980631,0.359935574,0,>85 ka
93,128.5969312,-0.289542663,0.055897928,25.84179397,0.389088046,78.59007833,0.922245432,7.571801567,0.157273543,0.261096606,0.197097168,0.261096606,0.130020032,5.140377695,0.775350172,0.261096606,>85 ka
94,128.9098926,-0.277675661,0.06333272,61.55089553,0.500075751,84.95575221,0.961374257,1.769911504,0.075517433,0,0.148747214,0.884955752,0.17841393,4.091047589,0.542589958,0,>85 ka
95,129.2248758,-0.231152871,0.100056073,47.99329998,0.457460586,85.32423208,0.963024771,4.09556314,0.103212115,0,0.148747214,0.682593857,0.161605634,3.848153472,0.482687033,0.341296928,>85 ka
96,129.5025651,-0.202150461,0.129706375,2106.44803,1,74.81840194,0.88782137,9.443099274,0.192974734,0.484261501,0.245153236,0.726392252,0.165153103,5.24562736,0.794387952,0.968523002,>85 ka
97,129.8078002,-0.17470781,0.162906848,24.01617702,0.383573781,44.25427873,0.326799137,27.62836186,0.684845061,1.95599022,0.648008343,5.378973105,0.710337471,6.677649987,0.956207996,0.488997555,>85 ka
98,130.1088273,-0.203237163,0.128495883,20.411161,0.372754803,50.42194093,0.455005186,23.20675105,0.560985082,2.53164557,0.787675403,4.430379747,0.595943399,6.543979069,0.947975028,0,>85 ka
